location,sensor,city,feature,survey_area,% to buildings,% to woods,intersects
Pointe d'Areuse,pointe-d-areuse,Boudry,Neuenburgersee,aare,0.1984126984126983,0.1626984126984127,8.0
Aabach,aabach,Schmerikon,Zurichsee,linth,0.1706263498920086,0.3844492440604752,16.0
Aare Limmatspitz,aare-limmatspitz,Gebenstorf,Aare,aare,0.2246835443037974,0.3227848101265823,0.0
Aare Port,aare-port,Port,Aare|Nidau-Büren-Kanal,aare,0.2966226138032306,0.3788546255506608,0.0
Aare Solothurn Lido Strand,aare-solothurn-lido-strand,Solothurn,Aare,aare,0.1575757575757576,0.2893939393939393,0.0
aarezufluss_bern_scheurerk,aarezufluss_bern_scheurerk,Bern,Aare,aare,0.4045801526717557,0.2519083969465649,0.0
Aare_Bern_CaveltiN,aare_bern_caveltin,Muri bei Bern,Aare,aare,0.3033873343151694,0.1561119293078056,0.0
Aare_bern_gerberm,aare_bern_gerberm,Bern,Aare,aare,0.3020527859237536,0.2038123167155425,0.0
aare_bern_scheurerk,aare_bern_scheurerk,Bern,Aare,aare,0.4033485540334855,0.2557077625570776,0.0
Aare_Brugg_BuchiE,aare_brugg_buchie,Brugg,Aare,aare,0.2888888888888888,0.3015873015873015,0.0
Aare_Elfenau_cataldiv,aare_elfenau_cataldiv,Bern,Aare,aare,0.4235294117647058,0.1735294117647058,0.0
aare_kehrsatz_stolten,aare_kehrsatz_stolten,Belp,Aare,aare,0.2810650887573964,0.1301775147928994,0.0
aare_köniz_hoppej,aare_koniz_hoppej,Köniz,Aare,aare,0.4761194029850746,0.1507462686567164,0.0
Aare_post,aare_post,Port,Aare|Nidau-Büren-Kanal,aare,0.284457478005865,0.3856304985337243,0.0
aare_rupperswil_badert,aare_rupperswil_badert,Rupperswil,Aare,aare,0.0748091603053435,0.584732824427481,0.0
aare_solothurn_nguyena,aare_solothurn_nguyena,Solothurn,Aare,aare,0.1873111782477341,0.283987915407855,0.0
aare_suhrespitz_badert,aare_suhrespitz_badert,Aarau,Aare,aare,0.3651515151515151,0.2272727272727272,0.0
