loc_date,date,sensor,feature,city,code,quantity,pcs_m
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G1,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G10,4,6.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G100,10,14.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G101,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G102,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G103,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G104,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G105,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G106,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G107,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G108,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G109,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G11,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G111,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G112,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G113,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G114,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G115,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G116,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G117,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G118,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G119,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G12,1,1.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G122,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G123,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G124,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G125,2,3.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G126,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G128,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G129,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G13,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G131,3,4.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G132,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G133,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G134,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G135,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G136,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G137,0,0.0
"('anarchy-beach', '2018-04-02')",2018-04-02,anarchy-beach,lac-leman,La Tour-de-Peilz,G138,0,0.0
