code,guess,beach,pcs_m
G200,80,plage-de-st-sulpice-guessed,160.0
G177,50,plage-de-st-sulpice-guessed,100.0
G178,50,plage-de-st-sulpice-guessed,100.0
G10,10,plage-de-st-sulpice-guessed,20.0
G100,5,plage-de-st-sulpice-guessed,10.0
G112,6,plage-de-st-sulpice-guessed,12.0
G117,7,plage-de-st-sulpice-guessed,14.0
G21,30,plage-de-st-sulpice-guessed,60.0
G23,15,plage-de-st-sulpice-guessed,30.0
G24,10,plage-de-st-sulpice-guessed,20.0
G25,50,plage-de-st-sulpice-guessed,100.0
G27,60,plage-de-st-sulpice-guessed,120.0
G30,2,plage-de-st-sulpice-guessed,4.0
G31,10,plage-de-st-sulpice-guessed,20.0
G32,3,plage-de-st-sulpice-guessed,6.0
G33,5,plage-de-st-sulpice-guessed,10.0
G35,10,plage-de-st-sulpice-guessed,20.0
G67,7,plage-de-st-sulpice-guessed,14.0
G70,2,plage-de-st-sulpice-guessed,4.0
G74,7,plage-de-st-sulpice-guessed,14.0
G89,5,plage-de-st-sulpice-guessed,10.0
G95,15,plage-de-st-sulpice-guessed,30.0
Gfrags,80,plage-de-st-sulpice-guessed,160.0
Gfoam,5,plage-de-st-sulpice-guessed,10.0
G200,40,plage-de-st-sulpice-guessed,80.0
G177,100,plage-de-st-sulpice-guessed,200.0
G178,70,plage-de-st-sulpice-guessed,140.0
G10,30,plage-de-st-sulpice-guessed,60.0
G100,20,plage-de-st-sulpice-guessed,40.0
G112,50,plage-de-st-sulpice-guessed,100.0
G117,100,plage-de-st-sulpice-guessed,200.0
G21,100,plage-de-st-sulpice-guessed,200.0
G23,100,plage-de-st-sulpice-guessed,200.0
G24,100,plage-de-st-sulpice-guessed,200.0
G25,50,plage-de-st-sulpice-guessed,100.0
G27,100,plage-de-st-sulpice-guessed,200.0
G30,100,plage-de-st-sulpice-guessed,200.0
G31,20,plage-de-st-sulpice-guessed,40.0
G32,5,plage-de-st-sulpice-guessed,10.0
G33,100,plage-de-st-sulpice-guessed,200.0
G35,50,plage-de-st-sulpice-guessed,100.0
G67,100,plage-de-st-sulpice-guessed,200.0
G70,10,plage-de-st-sulpice-guessed,20.0
G74,100,plage-de-st-sulpice-guessed,200.0
G89,100,plage-de-st-sulpice-guessed,200.0
G95,30,plage-de-st-sulpice-guessed,60.0
Gfrags,100,plage-de-st-sulpice-guessed,200.0
Gfoam,30,plage-de-st-sulpice-guessed,60.0
G200,15,plage-de-st-sulpice-guessed,30.0
G177,8,plage-de-st-sulpice-guessed,16.0
G178,10,plage-de-st-sulpice-guessed,20.0
G10,5,plage-de-st-sulpice-guessed,10.0
G100,1,plage-de-st-sulpice-guessed,2.0
G112,50,plage-de-st-sulpice-guessed,100.0
G117,7,plage-de-st-sulpice-guessed,14.0
G21,10,plage-de-st-sulpice-guessed,20.0
G23,5,plage-de-st-sulpice-guessed,10.0
G24,0,plage-de-st-sulpice-guessed,0.0
G25,20,plage-de-st-sulpice-guessed,40.0
G27,25,plage-de-st-sulpice-guessed,50.0
G30,30,plage-de-st-sulpice-guessed,60.0
