code,guess,beach
G200,80,plage-de-st-sulpice
G177,50,plage-de-st-sulpice
G178,50,plage-de-st-sulpice
G10,10,plage-de-st-sulpice
G100,5,plage-de-st-sulpice
G112,6,plage-de-st-sulpice
G117,7,plage-de-st-sulpice
G21,30,plage-de-st-sulpice
G23,15,plage-de-st-sulpice
G24,10,plage-de-st-sulpice
G25,50,plage-de-st-sulpice
G27,60,plage-de-st-sulpice
G30,2,plage-de-st-sulpice
G31,10,plage-de-st-sulpice
G32,3,plage-de-st-sulpice
G33,5,plage-de-st-sulpice
G35,10,plage-de-st-sulpice
G67,7,plage-de-st-sulpice
G70,2,plage-de-st-sulpice
G74,7,plage-de-st-sulpice
G89,5,plage-de-st-sulpice
G95,15,plage-de-st-sulpice
Gfrags,80,plage-de-st-sulpice
Gfoam,5,plage-de-st-sulpice
G200,40,plage-de-st-sulpice
G177,100,plage-de-st-sulpice
G178,70,plage-de-st-sulpice
G10,30,plage-de-st-sulpice
G100,20,plage-de-st-sulpice
G112,50,plage-de-st-sulpice
G117,100,plage-de-st-sulpice
G21,100,plage-de-st-sulpice
G23,100,plage-de-st-sulpice
G24,100,plage-de-st-sulpice
G25,50,plage-de-st-sulpice
G27,100,plage-de-st-sulpice
G30,100,plage-de-st-sulpice
G31,20,plage-de-st-sulpice
G32,5,plage-de-st-sulpice
G33,100,plage-de-st-sulpice
G35,50,plage-de-st-sulpice
G67,100,plage-de-st-sulpice
G70,10,plage-de-st-sulpice
G74,100,plage-de-st-sulpice
G89,100,plage-de-st-sulpice
G95,30,plage-de-st-sulpice
Gfrags,100,plage-de-st-sulpice
Gfoam,30,plage-de-st-sulpice
G200,15,plage-de-st-sulpice
G177,8,plage-de-st-sulpice
G178,10,plage-de-st-sulpice
G10,5,plage-de-st-sulpice
G100,1,plage-de-st-sulpice
G112,50,plage-de-st-sulpice
G117,7,plage-de-st-sulpice
G21,10,plage-de-st-sulpice
G23,5,plage-de-st-sulpice
G24,0,plage-de-st-sulpice
G25,20,plage-de-st-sulpice
G27,25,plage-de-st-sulpice
G30,30,plage-de-st-sulpice
G31,8,plage-de-st-sulpice
G32,2,plage-de-st-sulpice
G33,40,plage-de-st-sulpice
G35,20,plage-de-st-sulpice
G67,5,plage-de-st-sulpice
G70,0,plage-de-st-sulpice
G74,3,plage-de-st-sulpice
G89,4,plage-de-st-sulpice
G95,5,plage-de-st-sulpice
Gfrags,30,plage-de-st-sulpice
Gfoam,10,plage-de-st-sulpice
G200,20,parc-des-pierrettes
G177,5,parc-des-pierrettes
G178,20,parc-des-pierrettes
G10,3,parc-des-pierrettes
G100,1,parc-des-pierrettes
G112,40,parc-des-pierrettes
G117,10,parc-des-pierrettes
G21,20,parc-des-pierrettes
G23,30,parc-des-pierrettes
G24,30,parc-des-pierrettes
G25,10,parc-des-pierrettes
G27,50,parc-des-pierrettes
G30,30,parc-des-pierrettes
G31,10,parc-des-pierrettes
G32,5,parc-des-pierrettes
