code,material,description,groupname,parent_code
G708,Alu,Batons de ski,recreation,G199
G212,Chemicals,Oil nodules or coal fragments -- not from a BBQ,unclassified,Parent code
G213,Chemicals,Paraffin wax,recreation,Parent code
G214,Chemicals,Oil/tar,infrastructure,Parent code
G135,Cloth,"Clothes, footware, headware, gloves",personal items,Parent code
G136,Cloth,Shoes,personal items,Parent code
G137,Cloth,"Clothing, towels & rags",personal items,Parent code
G138,Cloth,Shoes and sandals,personal items,Parent code
G139,Cloth,Backpacks,personal items,Parent code
G140,Cloth,"Bags, burlap, hessian, jute or hemp",agriculture,Parent code
G141,Cloth,Carpet,unclassified,Parent code
G142,Cloth,"Rope , string or nets",recreation,Parent code
G143,Cloth,Sails and canvas,recreation,Parent code
G144,Cloth,Tampons,waste water,Parent code
G145,Cloth,Other textiles,personal items,Parent code
G712,Cloth,Gants de ski,recreation,G135
G902,Cloth,"Mask medical, cloth",personal items,G145
G200,Glass,"Glass drink bottles, pieces",food and drink,Parent code
G201,Glass,"Jars, includes pieces",food and drink,Parent code
G202,Glass,Light bulbs,unclassified,Parent code
G203,Glass,"Tableware ceramic or glass, cups, plates, pieces",food and drink,Parent code
G204,Glass,"Construction material; bricks, pipes, cement",infrastructure,Parent code
G205,Glass,Fluorescent light tubes,unclassified,Parent code
G206,Glass,Glass buoys,recreation,Parent code
G207,Glass,Octopus pots,unclassified,Parent code
G208,Glass,Glass or ceramic fragments > 2.5 cm,unclassified,Parent code
G209,Glass,Large glass objects,unclassified,Parent code
G210,Glass,Other glass/ceramic,unclassified,Parent code
G917,Glass,Terracotta balls,unclassified,G210
G921,Glass,Ceramic tile and pieces,infrastructure,G204
G174,Metal,Aerosol spray cans,infrastructure,Parent code
G175,Metal,"Cans, beverage",food and drink,Parent code
G176,Metal,"Cans, food",food and drink,Parent code
G177,Metal,"Foil wrappers, aluminum foil",food and drink,Parent code
G178,Metal,"Metal bottle caps, lids & pull tabs from cans",food and drink,Parent code
G179,Metal,Disposable BBQs,food and drink,Parent code
G180,Metal,Appliances,unclassified,Parent code
G181,Metal,"Tableware metal;  cups, cutlery etc.",food and drink,Parent code
G182,Metal,"Fishing; hooks, weights, lures, sinkers etc.",recreation,Parent code
G183,Metal,Fish hook remains,recreation,Parent code
G184,Metal,Lobster pots,unclassified,Parent code
G185,Metal,Middle size containers,unclassified,Parent code
G186,Metal,Industrial scrap,infrastructure,Parent code
G187,Metal,Drums,infrastructure,Parent code
G188,Metal,Other cans < 4 L,infrastructure,Parent code
G189,Metal,"Gas bottles, drums and buckets > 4 L",infrastructure,Parent code
G190,Metal,Paint cans,infrastructure,Parent code
G191,Metal,Wire and mesh,agriculture,Parent code
G192,Metal,Barrels,agriculture,Parent code
G193,Metal,car parts and batteries,unclassified,Parent code
G194,Metal,"Cables, metal wire(s) often inside rubber or plastic tubes",infrastructure,Parent code
G195,Metal,Batteries - household,personal items,Parent code
G196,Metal,Large metallic objects,unclassified,Parent code
G197,Metal,Other metal,infrastructure,Parent code
G198,Metal,Other metal pieces < 50cm,infrastructure,Parent code
G199,Metal,Other metal pieces > 50cm,infrastructure,Parent code
G705,Metal,Screws and bolts,infrastructure,G197
G906,Metal,coffee capsules aluminum,food and drink,G177
G918,Metal,"Safety pins, paper clips, small metal utility items",personal items,G198
G919,Metal,"Nails, screws, bolts etc.",infrastructure,G197
G929,Metal,"Electronics and pieces; sensors, headsets etc.",personal items,G198
G945,Metal,Razor blades,personal items,G198
G146,Paper,"Paper, cardboard",packaging non food,Parent code
G147,Paper,Paper bags,packaging non food,Parent code
G148,Paper,Cardboard (boxes and fragments),packaging non food,Parent code
G149,Paper,Paper packaging,packaging non food,Parent code
G150,Paper,"Milk cartons, tetrapack",food and drink,Parent code
G151,Paper,"Cartons, Tetrapacks",food and drink,Parent code
G152,Paper,"Cigarette boxes, tobacco related paper/cardboard",tobacco,Parent code
G153,Paper,"Cups, food containers, wrappers (paper)",food and drink,Parent code
G154,Paper,Newspapers or magazines,personal items,Parent code
G155,Paper,Fireworks paper tubes and fragments,recreation,Parent code
G156,Paper,Paper fragments,packaging non food,Parent code
G157,Paper,Paper,packaging non food,Parent code
G158,Paper,Other paper items,packaging non food,Parent code
G923,Paper,"Tissue, toilet paper, napkins, paper towels",personal items,G158
G1,Plastic,Six pack rings,food and drink,Parent code
G10,Plastic,Food containers single use foamed or plastic,food and drink,Parent code
G100,Plastic,Medical; containers/tubes/ packaging,waste water,Parent code
G101,Plastic,Dog feces bag,personal items,Parent code
G102,Plastic,Flip-flops,personal items,Parent code
G103,Plastic,Plastic fragments rounded <5mm,micro plastics (< 5mm),Parent code
G104,Plastic,Plastic fragments subrounded <5mm,micro plastics (< 5mm),Parent code
G105,Plastic,Plastic fragments subangular <5mm,micro plastics (< 5mm),Parent code
G106,Plastic,Plastic fragments angular <5mm,micro plastics (< 5mm),Parent code
G107,Plastic,Cylindrical pellets < 5mm,micro plastics (< 5mm),Parent code
G108,Plastic,disk pellets  <5mm,micro plastics (< 5mm),Parent code
G109,Plastic,Flat pellets  <5mm,micro plastics (< 5mm),Parent code
G11,Plastic,"Cosmetics for the beach, e.g. sunblock",recreation,Parent code
G110,Plastic,Ovoid pellets < 5mm,micro plastics (< 5mm),Parent code
G111,Plastic,Spheruloid pellets < 5mm,micro plastics (< 5mm),Parent code
G112,Plastic,Industrial pellets (nurdles),micro plastics (< 5mm),Parent code
G113,Plastic,Filaments  <5mm,micro plastics (< 5mm),Parent code
G114,Plastic,Films  <5mm,micro plastics (< 5mm),Parent code
G115,Plastic,Foamed  plastic <5mm,micro plastics (< 5mm),Parent code
G116,Plastic,Granules <5mm,micro plastics (< 5mm),Parent code
G117,Plastic,Styrofoam < 5mm,micro plastics (< 5mm),Parent code
G118,Plastic,Small industrial spheres <5mm,micro plastics (< 5mm),Parent code
G119,Plastic,Sheetlike user plastic (>1mm),micro plastics (< 5mm),Parent code
G12,Plastic,"Cosmetics, non-beach use personal care containers",personal items,Parent code
G120,Plastic,Threadlike user plastic ( >1mm),micro plastics (< 5mm),Parent code
G121,Plastic,Foamed user plastic ( >1mm),micro plastics (< 5mm),Parent code
G122,Plastic,Plastic fragments ( >1mm),micro plastics (< 5mm),Parent code
G123,Plastic,Polyurethane granules < 5mm,micro plastics (< 5mm),Parent code
G124,Plastic,Other plastic or foam products,unclassified,Parent code
G13,Plastic,"Bottles, containers, drums to transport, store material",agriculture,Parent code
G14,Plastic,Engine oil bottles,unclassified,Parent code
G15,Plastic,Engine oil bottles > 50cm,unclassified,Parent code
G16,Plastic,Jerry cans,unclassified,Parent code
G17,Plastic,Injection gun cartridge,infrastructure,Parent code
G18,Plastic,Crates/baskets,agriculture,Parent code
G19,Plastic,Car parts,unclassified,Parent code
G2,Plastic,Bags,packaging non food,Parent code
G20,Plastic,Caps and lids,packaging non food,Parent code
G21,Plastic,Drink lids,food and drink,Parent code
G211,Plastic,"Other medical (swabs, bandaging, adhesive plaster)",personal items,Parent code
G22,Plastic,"Lids for chemicals, detergents (non-food)",infrastructure,Parent code
